Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
20	The Taste of Others	2001-02-09	Miramax	R	$635,282	112,240	Romantic-Comedy
21	Better than Sex	2001-10-26	Samuel Goldwyn Films	R	$94,940	16,773	Romantic-Comedy
22	Best Man in Grass Creek	2001-04-20		PG	$81,760	14,445	Romantic-Comedy
23	Mademoiselle	2001-06-15		Not Rated	$60,859	10,752	Romantic-Comedy
24	Café Olé	2001-06-08	Equinox	Not Rated	$20,610	3,641	Romantic-Comedy
25	Let it Snow	2001-06-08		R	$20,555	3,631	Romantic-Comedy
26	Du pic au coeur	2001-02-09		Not Rated	$1,775	313	Romantic-Comedy
1	My Big Fat Greek Wedding	2002-04-19	IFC Films	PG	$227,898,505	39,225,216	Romantic-Comedy
2	Maid in Manhattan	2002-12-13	Sony Pictures	PG-13	$76,328,613	13,137,454	Romantic-Comedy
3	Two Weeks Notice	2002-12-20	Warner Bros.	PG-13	$68,810,079	11,843,387	Romantic-Comedy
4	About a Boy	2002-05-17	Universal	PG-13	$40,803,000	7,022,891	Romantic-Comedy
5	40 Days and 40 Nights	2002-03-01	Miramax	R	$37,939,782	6,530,082	Romantic-Comedy
6	Brown Sugar	2002-10-11	20th Century Fox	PG-13	$27,307,799	4,700,137	Romantic-Comedy
7	The Sweetest Thing	2002-04-12	Sony Pictures	R	$24,430,272	4,204,866	Romantic-Comedy
8	Serving Sara	2002-08-23	Paramount Pictures	PG-13	$16,930,185	2,913,973	Romantic-Comedy
9	Kate and Leopold	2001-12-25	Miramax	PG-13	$16,507,447	2,841,212	Romantic-Comedy
10	Le Fabuleux destin d'Amélie…	2001-11-02	Miramax	R	$15,506,013	2,668,849	Romantic-Comedy
11	Life, or Something Like It	2002-04-26	20th Century Fox	PG-13	$14,448,589	2,486,848	Romantic-Comedy
12	Kissing Jessica Stein	2002-03-13	Fox Searchlight	R	$7,025,722	1,209,246	Romantic-Comedy
13	Hollywood Ending	2002-05-03	Dreamworks SKG	PG-13	$4,839,383	832,940	Romantic-Comedy
14	Shallow Hal	2001-11-09	20th Century Fox	PG-13	$2,018,309	347,385	Romantic-Comedy
15	Bollywood/Hollywood	2002-10-25	Magnolia Pictures	PG-13	$1,161,947	199,990	Romantic-Comedy
16	Crush	2002-04-05	Sony Pictures Cla…	R	$1,081,130	186,080	Romantic-Comedy
17	Swept Away	2002-10-11	Sony Pictures	R	$598,645	103,037	Romantic-Comedy
18	The Triumph of Love	2002-04-17		PG-13	$446,942	76,926	Romantic-Comedy
19	Never Again	2002-07-12		R	$307,631	52,948	Romantic-Comedy
20	The Bread, My Sweet	2002-11-22	Panorama Entertai…	PG-13	$297,335	51,176	Romantic-Comedy
21	Mujhse Dosti Karoge	2002-08-09		Not Rated	$285,000	49,053	Romantic-Comedy
22	Waking Up in Reno	2002-10-25	Miramax	R	$261,603	45,026	Romantic-Comedy
23	Amy's Orgasm	2002-08-23	Magic Lamp	R	$119,664	20,596	Romantic-Comedy
24	Va Savoir (Who Knows?)	2001-09-28	Sony Pictures Cla…	PG-13	$111,825	19,246	Romantic-Comedy
1	How to Lose a Guy in 10 Days	2003-02-07	Paramount Pictures	PG-13	$105,807,520	17,546,852	Romantic-Comedy
2	Something's Gotta Give	2003-12-12	Sony Pictures	PG-13	$81,211,676	13,467,939	Romantic-Comedy
3	Love Actually	2003-11-07	Universal	R	$57,429,915	9,524,032	Romantic-Comedy
4	Just Married	2003-01-10	20th Century Fox	PG-13	$56,127,162	9,307,987	Romantic-Comedy
5	Intolerable Cruelty	2003-10-10	Universal	PG-13	$35,296,248	5,853,440	Romantic-Comedy
6	Two Weeks Notice	2002-12-20	Warner Bros.	PG-13	$24,544,839	4,070,454	Romantic-Comedy
7	Down with Love	2003-05-09	20th Century Fox	PG-13	$20,305,251	3,367,371	Romantic-Comedy
8	Love Don't Cost a Thing	2003-12-12	Warner Bros.	PG-13	$20,178,317	3,346,321	Romantic-Comedy
9	Maid in Manhattan	2002-12-13	Sony Pictures	PG-13	$17,604,283	2,919,449	Romantic-Comedy
10	Deliver Us From Eva	2003-02-07	Focus Features	R	$17,573,594	2,914,360	Romantic-Comedy
11	My Boss's Daughter	2003-08-22	Miramax/Dimension	PG-13	$15,549,702	2,578,723	Romantic-Comedy
12	A Guy Thing	2003-01-17	MGM	PG-13	$15,543,862	2,577,754	Romantic-Comedy
13	Alex & Emma	2003-06-20	Warner Bros.	PG-13	$14,208,384	2,356,282	Romantic-Comedy
14	My Big Fat Greek Wedding	2002-04-19	IFC Films	PG	$13,539,703	2,245,390	Romantic-Comedy
15	Gigli	2003-08-01	Sony Pictures	R	$6,087,542	1,009,542	Romantic-Comedy
16	L'auberge espagnole	2003-03-21		R	$3,895,664	646,047	Romantic-Comedy
17	Anything Else	2003-09-19	Dreamworks SKG	R	$3,203,044	531,184	Romantic-Comedy
18	Nez Rouge	2003-11-28	Christal Films	Not Rated	$1,678,108	278,293	Romantic-Comedy
19	I Capture the Castle	2003-07-11	Samuel Goldwyn Films	R	$1,174,139	194,716	Romantic-Comedy
20	The Bread, My Sweet	2002-11-22	Panorama Entertai…	PG-13	$697,864	115,732	Romantic-Comedy
21	Jet Lag	2003-02-21	Miramax	R	$544,434	90,287	Romantic-Comedy
22	Passionada	2003-08-15	Samuel Goldwyn Films	PG-13	$536,906	89,039	Romantic-Comedy
23	Bollywood/Hollywood	2002-10-25	Magnolia Pictures	PG-13	$329,136	54,583	Romantic-Comedy
24	Brown Sugar	2002-10-11	20th Century Fox	PG-13	$54,913	9,106	Romantic-Comedy
25	Out of Control	2003-11-21		Not Rated	$36,486	6,050	Romantic-Comedy
26	Pursuit of Happiness	2003-05-16		Not Rated	$6,850	1,135	Romantic-Comedy
27	Lan se da men	2003-11-21	Strand	Not Rated	$4,025	667	Romantic-Comedy
1	50 First Dates	2004-02-13	Sony Pictures	PG-13	$120,776,832	19,448,765	Romantic-Comedy
2	The Princess Diaries 2: Roy…	2004-08-11	Walt Disney	G	$95,149,435	15,321,970	Romantic-Comedy
3	Along Came Polly	2004-01-16	Universal	PG-13	$88,073,507	14,182,529	Romantic-Comedy
4	Shall We Dance?	2004-10-15	Miramax	PG-13	$57,149,868	9,202,877	Romantic-Comedy
5	13 Going On 30	2004-04-23	Sony Pictures	PG-13	$57,139,723	9,201,243	Romantic-Comedy
6	A Cinderella Story	2004-07-16	Warner Bros.	PG	$51,438,175	8,283,119	Romantic-Comedy
7	Something's Gotta Give	2003-12-12	Sony Pictures	PG-13	$43,473,566	7,000,574	Romantic-Comedy
8	Bridget Jones: The Edge Of …	2004-11-12	Universal	R	$39,877,945	6,421,569	Romantic-Comedy
9	The Prince & Me	2004-04-02	Paramount Pictures	PG	$28,165,882	4,535,568	Romantic-Comedy
10	Little Black Book	2004-08-06	Sony Pictures	PG-13	$20,422,207	3,288,600	Romantic-Comedy
11	Laws of Attraction	2004-04-30	New Line	PG-13	$17,848,322	2,874,125	Romantic-Comedy
12	Win a Date with Tad Hamilton!	2004-01-23	Dreamworks SKG	PG-13	$16,980,098	2,734,315	Romantic-Comedy
13	Wimbledon	2004-09-17	Universal	PG-13	$16,862,585	2,715,392	Romantic-Comedy
14	The Girl Next Door	2004-04-09	20th Century Fox	R	$14,589,444	2,349,346	Romantic-Comedy
15	Breakin' All the Rules	2004-05-14	20th Century Fox	PG-13	$12,232,382	1,969,787	Romantic-Comedy
16	Chasing Liberty	2004-01-09	Warner Bros.	PG-13	$12,189,514	1,962,884	Romantic-Comedy
17	First Daughter	2004-09-24	20th Century Fox	PG	$9,055,010	1,458,133	Romantic-Comedy
18	Love Actually	2003-11-07	Universal	R	$2,042,363	328,882	Romantic-Comedy
19	Love Don't Cost a Thing	2003-12-12	Warner Bros.	PG-13	$1,719,072	276,823	Romantic-Comedy
20	Mujhse Shaadi Karogi	2004-07-30	Zee Studios	Not Rated	$833,648	134,242	Romantic-Comedy
21	Hum Tum	2004-05-28	Yash Raj Films	Not Rated	$796,641	128,283	Romantic-Comedy
22	Touch of Pink	2004-07-16	Sony Pictures Cla…	R	$564,535	90,907	Romantic-Comedy
23	Love Me If You Dare	2004-05-19	Paramount Vantage	R	$548,707	88,358	Romantic-Comedy
24	Nez Rouge	2003-11-28	Christal Films	Not Rated	$326,706	52,609	Romantic-Comedy
25	Kyun! Ho Gaya Na...	2004-05-21		Not Rated	$171,966	27,691	Romantic-Comedy
