Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
10	Stealth	2005-07-29	Sony Pictures	PG-13	$32,116,746	5,010,412	Action
11	XXX: State of the Union	2005-04-29	Sony Pictures	PG-13	$26,873,932	4,192,501	Action
12	Serenity	2005-09-30	Universal	PG-13	$25,514,517	3,980,423	Action
13	Aeon Flux	2005-12-02	Paramount Pictures	PG-13	$24,943,349	3,891,318	Action
14	Danny the Dog	2005-05-13	Focus/Rogue Pictures	R	$24,537,621	3,828,021	Action
15	Elektra	2005-01-14	20th Century Fox	PG-13	$24,409,722	3,808,068	Action
16	Assault On Precinct 13	2005-01-19	Focus/Rogue Pictures	R	$20,040,895	3,126,504	Action
17	Kung Fu Hustle	2005-04-08	Sony Pictures Cla…	R	$17,104,669	2,668,435	Action
18	The Lords of Dogtown	2005-06-03	Sony/TriStar	PG-13	$11,273,517	1,758,739	Action
19	Domino	2005-10-14	New Line	R	$10,169,202	1,586,458	Action
20	The Great Raid	2005-08-12	Miramax	R	$10,166,502	1,586,037	Action
21	House of Flying Daggers	2004-12-03	Sony Pictures Cla…	PG-13	$6,892,895	1,075,334	Action
22	Ong-Bak	2005-02-11	Magnolia Pictures	R	$4,563,167	711,882	Action
23	Blade: Trinity	2004-12-08	New Line	R	$4,317,450	673,549	Action
24	Supercross	2005-08-17	20th Century Fox	PG-13	$3,102,550	484,017	Action
25	A Sound of Thunder	2005-09-02	Warner Bros.	PG-13	$1,900,451	296,482	Action
26	State Property 2	2005-04-13	Lionsgate	R	$1,691,706	263,916	Action
27	Steamboy	2005-03-18	Sony Pictures	PG-13	$468,867	73,146	Action
28	De Zaak Alzheimer	2005-08-26	Sony Pictures Cla…	R	$332,015	51,796	Action
29	Secuestro Express	2005-08-05	Miramax	R	$302,256	47,153	Action
30	Alexander	2004-11-24	Warner Bros.	R	$296,887	46,316	Action
31	Taxi	2004-10-06	20th Century Fox	PG-13	$247,679	38,639	Action
32	After the Sunset	2004-11-12	New Line	PG-13	$214,207	33,417	Action
33	Ek Ajnabee	2005-12-09	Eros Entertainment	Not Rated	$213,143	33,251	Action
34	Matando Cabos	2005-08-26	Televisa Cine	R	$138,555	21,615	Action
35	Appurushîdo	2005-01-14	Geneon Entertainment	R	$129,135	20,145	Action
36	D.E.B.S.	2005-03-25	Samuel Goldwyn Films	PG-13	$96,793	15,100	Action
37	Sky Blue	2004-12-31	Maxmedia/Endgame	Not Rated	$70,631	11,018	Action
38	The Warrior	2005-07-15	Miramax	R	$48,160	7,513	Action
39	Undead	2005-07-01	Lionsgate	R	$41,196	6,426	Action
40	Streets of Legend	2005-11-23	Lionsgate	R	$4,825	752	Action
1	X-Men: The Last Stand	2006-05-26	20th Century Fox	PG-13	$234,362,462	35,780,528	Action
2	Casino Royale	2006-11-17	Sony Pictures	PG-13	$153,676,842	23,462,113	Action
3	Mission: Impossible III	2006-05-05	Paramount Pictures	PG-13	$133,501,348	20,381,885	Action
4	V for Vendetta	2006-03-17	Warner Bros.	R	$70,511,035	10,765,043	Action
5	Miami Vice	2006-07-28	Universal	R	$63,478,838	9,691,425	Action
6	The Fast and the Furious: T…	2006-06-16	Universal	PG-13	$62,615,510	9,559,619	Action
7	Underworld: Evolution	2006-01-20	Sony Pictures	R	$62,318,875	9,514,332	Action
8	The Guardian	2006-09-29	Walt Disney	PG-13	$55,011,732	8,398,737	Action
9	Apocalypto	2006-12-08	Walt Disney	R	$42,654,236	6,512,097	Action
10	16 Blocks	2006-03-03	Warner Bros.	PG-13	$36,895,141	5,632,845	Action
11	Blood Diamond	2006-12-08	Warner Bros.	R	$35,726,534	5,454,432	Action
12	Crank	2006-09-01	Lionsgate	R	$27,838,408	4,250,138	Action
13	The Marine	2006-10-13	20th Century Fox	PG-13	$18,782,953	2,867,626	Action
14	Ultraviolet	2006-03-03	Sony Pictures	PG-13	$18,522,064	2,827,796	Action
15	Tom yum goong	2006-09-08	Weinstein Co.	R	$12,044,087	1,838,791	Action
16	Running Scared	2006-02-24	New Line	R	$6,855,137	1,046,585	Action
17	Dhoom 2	2006-11-23	Yash Raj Films	Not Rated	$2,608,181	398,195	Action
18	BloodRayne	2006-01-06	Romar	R	$2,405,420	367,239	Action
19	Don	2006-10-20	UTV Communications	Not Rated	$2,223,961	339,536	Action
20	Man cheng jin dai huang jin…	2006-12-21	Sony Pictures Cla…	R	$1,520,292	232,105	Action
21	Nochnoy dozor	2006-02-17	Fox Searchlight	Not Rated	$1,502,188	229,341	Action
22	Krrish	2006-06-23	AdLab Films	Not Rated	$1,430,721	218,430	Action
23	Banlieue 13	2006-06-02	Magnolia Pictures	R	$1,200,216	183,239	Action
24	Aeon Flux	2005-12-02	Paramount Pictures	PG-13	$914,638	139,639	Action
25	Wu ji	2006-05-05	Warner Independent	PG-13	$669,625	102,232	Action
26	Alex Rider: Operation Storm…	2006-10-13	Weinstein Co.	PG	$659,210	100,642	Action
27	Taepung	2006-06-02	Paramount Vantage	R	$139,059	21,230	Action
28	Renaissance	2006-09-22	Miramax	R	$70,644	10,785	Action
29	Beowulf & Grendel	2006-06-16	Truly Indie	R	$68,820	10,506	Action
30	Azumi	2006-07-21	Vitagraph Films	Not Rated	$41,803	6,382	Action
31	Grip: A Criminal's Story	2006-04-28	JeTi Films	Not Rated	$1,336	203	Action
32	In Her Line of Fire	2006-04-21	Regent Releasing	R	$884	134	Action
1	Transformers	2007-07-02	Paramount Pictures	PG-13	$319,246,193	46,402,062	Action
2	300	2007-03-09	Warner Bros.	R	$210,614,939	30,612,636	Action
3	Rush Hour 3	2007-08-10	New Line	PG-13	$140,125,968	20,367,146	Action
4	Live Free or Die Hard	2007-06-27	20th Century Fox	PG-13	$134,529,403	19,553,692	Action
5	Fantastic Four: Rise of the…	2007-06-15	20th Century Fox	PG	$131,921,738	19,174,671	Action
6	Ghost Rider	2007-02-16	Sony Pictures	PG-13	$115,802,596	16,831,772	Action
7	TMNT	2007-03-23	Warner Bros.	PG	$54,149,098	7,870,508	Action
8	The Kingdom	2007-09-28	Universal	R	$47,467,250	6,899,309	Action
9	No Country for Old Men	2007-11-09	Miramax	R	$44,759,744	6,505,776	Action
10	Hitman	2007-11-21	20th Century Fox	R	$39,248,698	5,704,753	Action
11	Aliens vs. Predator - Requiem	2007-12-25	20th Century Fox	R	$30,485,323	4,431,006	Action
12	We Own the Night	2007-10-12	Sony Pictures	R	$28,563,179	4,151,624	Action
13	War	2007-08-24	Lionsgate	R	$22,486,409	3,268,373	Action
14	Blood Diamond	2006-12-08	Warner Bros.	R	$21,651,382	3,147,003	Action
15	Next	2007-04-27	Paramount Pictures	PG-13	$18,211,013	2,646,949	Action
16	Casino Royale	2006-11-17	Sony Pictures	PG-13	$13,688,158	1,989,557	Action
17	Shoot 'Em Up	2007-09-07	New Line	R	$12,796,824	1,860,003	Action
18	Dragon Wars: D-War	2007-09-14	Freestyle Releasing	PG-13	$10,977,721	1,595,598	Action
19	Pathfinder	2007-04-13	20th Century Fox	R	$10,232,081	1,487,221	Action
20	Death Sentence	2007-08-31	20th Century Fox	R	$9,534,258	1,385,793	Action
21	Apocalypto	2006-12-08	Walt Disney	R	$8,212,399	1,193,662	Action
22	The Condemned	2007-04-27	Lionsgate	R	$7,371,706	1,071,468	Action
23	Redline	2007-04-13	Chicago Releasing	PG-13	$6,881,021	1,000,148	Action
24	The Last Legion	2007-08-17	Weinstein/Dimension	PG-13	$5,932,060	862,218	Action
25	Aqua Teen Hunger Force Colo…	2007-04-13	First Look	R	$5,520,368	802,379	Action
26	Rescue Dawn	2007-07-04	MGM	PG-13	$5,490,423	798,026	Action
