Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
47	Midnight Reckoning	2010-09-10	Winter Star Enter…	PG-13	$5,673	719	Thriller-or-Suspense
48	The Oxford Murders	2010-08-06	Magnolia Pictures	R	$4,803	608	Thriller-or-Suspense
49	Inhale	2010-10-22	IFC Films	R	$4,115	521	Thriller-or-Suspense
50	Zenith	2010-10-01	Cinema Purgatorio	Not Rated	$4,052	513	Thriller-or-Suspense
51	As Good as Dead	2010-10-08	Alchemy	R	$2,093	265	Thriller-or-Suspense
52	Falling Awake	2010-01-29	IFC Films	R	$1,978	250	Thriller-or-Suspense
53	Daddy's Home	2010-09-10	Self Distributed	Not Rated	$796	100	Thriller-or-Suspense
1	Super 8	2011-06-10	Paramount Pictures	PG-13	$127,004,179	16,015,659	Thriller-or-Suspense
2	Limitless	2011-03-18	Relativity	PG-13	$79,249,455	9,993,626	Thriller-or-Suspense
3	Contagion	2011-09-09	Warner Bros.	PG-13	$75,658,097	9,540,744	Thriller-or-Suspense
4	Unknown	2011-02-18	Warner Bros.	PG-13	$63,686,397	8,031,072	Thriller-or-Suspense
5	The Adjustment Bureau	2011-03-04	Universal	PG-13	$62,495,645	7,880,914	Thriller-or-Suspense
6	Black Swan	2010-12-03	Fox Searchlight	R	$59,146,887	7,458,624	Thriller-or-Suspense
7	The Lincoln Lawyer	2011-03-18	Lionsgate	R	$58,009,200	7,315,157	Thriller-or-Suspense
8	The Girl with the Dragon Ta…	2011-12-20	Sony Pictures	R	$55,584,881	7,009,442	Thriller-or-Suspense
9	Source Code	2011-04-01	Summit Entertainment	PG-13	$54,712,227	6,899,398	Thriller-or-Suspense
10	Hanna	2011-04-08	Focus Features	PG-13	$40,259,119	5,076,811	Thriller-or-Suspense
11	Red Riding Hood	2011-03-11	Warner Bros.	PG-13	$37,662,162	4,749,327	Thriller-or-Suspense
12	The Roommate	2011-02-04	Sony Pictures	PG-13	$37,300,107	4,703,670	Thriller-or-Suspense
13	In Time	2011-10-28	20th Century Fox	PG-13	$37,076,415	4,675,462	Thriller-or-Suspense
