Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
6	Shark Tale	2004-10-01	Dreamworks SKG	PG	$160,762,022	25,887,604	Adventure
7	The Polar Express	2004-11-10	Warner Bros.	G	$155,754,116	25,081,178	Adventure
8	National Treasure	2004-11-19	Walt Disney	PG	$154,522,305	24,882,818	Adventure
9	Ocean's Twelve	2004-12-10	Warner Bros.	PG-13	$107,006,344	17,231,295	Adventure
10	Lemony Snicket's A Series o…	2004-12-17	Paramount Pictures	PG	$94,616,745	15,236,190	Adventure
11	The Lord of the Rings: The …	2003-12-17	New Line	PG-13	$86,602,112	13,945,589	Adventure
12	Scooby-Doo 2: Monsters Unle…	2004-03-26	Warner Bros.	PG	$84,185,387	13,556,423	Adventure
13	SpongeBob SquarePants: The …	2004-11-19	Paramount Pictures	PG	$81,900,075	13,188,417	Adventure
14	Garfield: The Movie	2004-06-11	20th Century Fox	PG	$75,367,693	12,136,504	Adventure
15	The Chronicles of Riddick	2004-06-11	Universal	PG-13	$57,712,751	9,293,518	Adventure
16	King Arthur	2004-07-07	Walt Disney	PG-13	$51,877,963	8,353,939	Adventure
17	Home on the Range	2004-04-02	Walt Disney	PG	$50,026,353	8,055,773	Adventure
18	Sky Captain and the World o…	2004-09-17	Paramount Pictures	PG	$37,760,080	6,080,528	Adventure
19	Around the World in 80 Days	2004-06-16	Walt Disney	PG	$24,004,159	3,865,404	Adventure
20	Agent Cody Banks 2: Destina…	2004-03-12	MGM	PG	$23,514,247	3,786,513	Adventure
21	Yu-Gi-Oh	2004-08-13	Warner Bros.	PG	$19,762,690	3,182,397	Adventure
22	Two Brothers	2004-06-25	Universal	PG	$19,176,754	3,088,044	Adventure
23	Flight of the Phoenix	2004-12-17	20th Century Fox	PG-13	$16,720,242	2,692,470	Adventure
24	Catch That Kid	2004-02-06	20th Century Fox	PG	$16,703,799	2,689,822	Adventure
25	Peter Pan	2003-12-25	Universal	PG	$14,238,615	2,292,852	Adventure
26	Master and Commander: The F…	2003-11-14	20th Century Fox	PG-13	$10,920,242	1,758,493	Adventure
27	Sleepover	2004-07-09	MGM	PG	$9,408,183	1,515,005	Adventure
28	Superbabies: Baby Geniuses 2	2004-08-27	Sony Pictures	PG	$9,109,322	1,466,879	Adventure
29	Thunderbirds	2004-07-30	Universal	PG	$6,768,055	1,089,863	Adventure
30	Teacher's Pet: The Movie	2004-01-16	Walt Disney	PG	$6,491,969	1,045,405	Adventure
31	The Haunted Mansion	2003-11-26	Walt Disney	PG	$5,395,243	868,799	Adventure
32	Young Black Stallion	2003-12-25	Walt Disney	G	$4,264,441	686,705	Adventure
33	Clifford's Really Big Movie	2004-04-23	Warner Bros.	G	$2,922,354	470,588	Adventure
34	T-Rex: Back to the Cretaceous	1998-10-23	IMAX Films	Not Rated	$2,830,964	455,871	Adventure
35	Santa vs. The Snowman	2002-11-06	IMAX Films	Not Rated	$2,818,321	453,835	Adventure
36	Haunted Castle	2001-03-02	nWave Pictures	PG	$2,177,670	350,671	Adventure
37	Brother Bear	2003-10-24	Walt Disney	G	$2,038,979	328,338	Adventure
38	Dr. Seuss’ The Cat in the H…	2003-11-21	Universal	PG	$1,634,788	263,250	Adventure
39	Lakshya	2004-06-18	UTV Communications	Not Rated	$752,344	121,150	Adventure
40	The Legend of Johnny Lingo	2003-08-29	Innovation Film G…	G	$699,304	112,609	Adventure
41	Alien Adventure	2000-04-14	nWave Pictures	Not Rated	$383,357	61,732	Adventure
42	Timeline	2003-11-26	Paramount Pictures	PG-13	$367,501	59,178	Adventure
43	Looney Tunes: Back in Action	2003-11-14	Warner Bros.	PG	$272,310	43,850	Adventure
44	The Snow Walker	2004-03-26		Not Rated	$201,149	32,391	Adventure
45	Tokyo Godfathers	2004-01-16	IDP Distribution	PG-13	$128,985	20,770	Adventure
46	Spy Kids 3-D: Game Over	2003-07-25	Miramax/Dimension	PG	$82,010	13,206	Adventure
47	Kaena: La prophétie	2004-06-25	IDP Distribution	PG-13	$7,674	1,235	Adventure
48	Across The Sea of Time	1995-10-20	Sony Pictures Cla…	G	$1,965	316	Adventure
49	Good Boy!	2003-10-10	MGM	PG	$1,480	238	Adventure
1	Star Wars Ep. III: Revenge …	2005-05-19	20th Century Fox	PG-13	$380,270,577	59,324,582	Adventure
2	Harry Potter and the Goblet…	2005-11-18	Warner Bros.	PG-13	$275,132,632	42,922,407	Adventure
3	The Chronicles of Narnia: T…	2005-12-09	Walt Disney	PG	$217,677,877	33,959,107	Adventure
4	Charlie and the Chocolate F…	2005-07-15	Warner Bros.	PG	$206,459,076	32,208,904	Adventure
5	Madagascar	2005-05-27	Dreamworks SKG	PG	$193,595,521	30,202,109	Adventure
6	King Kong	2005-12-14	Universal	PG-13	$168,505,310	26,287,879	Adventure
7	Chicken Little	2005-11-04	Walt Disney	G	$131,944,653	20,584,189	Adventure
8	Robots	2005-03-11	20th Century Fox	PG	$128,200,012	20,000,001	Adventure
9	Sahara	2005-04-08	Paramount Pictures	PG-13	$68,671,925	10,713,248	Adventure
10	Herbie: Fully Loaded	2005-06-22	Walt Disney	G	$66,010,682	10,298,078	Adventure
11	Sky High	2005-07-29	Walt Disney	PG	$63,939,454	9,974,953	Adventure
12	Wallace & Gromit: The Curse…	2005-10-05	Dreamworks SKG	G	$56,019,476	8,739,387	Adventure
13	Corpse Bride	2005-09-23	Warner Bros.	PG	$53,359,111	8,324,354	Adventure
14	The Hitchhiker's Guide to t…	2005-04-29	Walt Disney	PG	$51,019,112	7,959,299	Adventure
15	Cheaper by the Dozen 2	2005-12-21	20th Century Fox	PG	$50,313,031	7,849,146	Adventure
16	Racing Stripes	2005-01-14	Warner Bros.	PG	$49,772,522	7,764,824	Adventure
17	The Legend of Zorro	2005-10-28	Sony Pictures	PG	$45,575,336	7,110,036	Adventure
18	The Adventures of Sharkboy …	2005-06-10	Miramax/Dimension	PG	$39,177,684	6,111,963	Adventure
19	The Brothers Grimm	2005-08-26	Miramax/Dimension	PG-13	$37,899,638	5,912,580	Adventure
20	Zathura	2005-11-11	Sony Pictures	PG	$28,045,540	4,375,279	Adventure
21	Lemony Snicket's A Series o…	2004-12-17	Paramount Pictures	PG	$24,010,372	3,745,767	Adventure
22	Valiant	2005-08-19	Walt Disney	G	$19,478,106	3,038,706	Adventure
23	Into the Blue	2005-09-30	Sony Pictures	PG-13	$18,782,227	2,930,144	Adventure
24	Ocean's Twelve	2004-12-10	Warner Bros.	PG-13	$18,525,290	2,890,060	Adventure
25	National Treasure	2004-11-19	Walt Disney	PG	$18,482,697	2,883,416	Adventure
26	Pooh's Heffalump Movie	2005-02-11	Walt Disney	G	$18,098,433	2,823,468	Adventure
27	The Polar Express	2004-11-10	Warner Bros.	G	$17,478,463	2,726,749	Adventure
28	Son of the Mask	2005-02-18	New Line	PG	$17,018,422	2,654,980	Adventure
29	The Incredibles	2004-11-05	Walt Disney	PG	$9,784,088	1,526,378	Adventure
30	Hauru no ugoku shiro	2005-06-10	Walt Disney	PG	$4,710,455	734,860	Adventure
31	Flight of the Phoenix	2004-12-17	20th Century Fox	PG-13	$4,288,938	669,101	Adventure
32	SpongeBob SquarePants: The …	2004-11-19	Paramount Pictures	PG	$3,516,534	548,601	Adventure
33	T-Rex: Back to the Cretaceous	1998-10-23	IMAX Films	Not Rated	$2,697,461	420,820	Adventure
34	Haunted Castle	2001-03-02	nWave Pictures	PG	$2,205,203	344,025	Adventure
35	Bunty Aur Babli	2005-05-27	Yash Raj Films	Not Rated	$932,509	145,477	Adventure
36	Duma	2005-09-30	Warner Bros.	PG	$870,067	135,735	Adventure
37	Shark Tale	2004-10-01	Dreamworks SKG	PG	$649,978	101,400	Adventure
38	Alien Adventure	2000-04-14	nWave Pictures	Not Rated	$265,765	41,460	Adventure
39	The New World	2005-12-25	New Line	PG-13	$156,471	24,410	Adventure
40	Young Black Stallion	2003-12-25	Walt Disney	G	$136,972	21,368	Adventure
41	Santa vs. The Snowman	2002-11-06	IMAX Films	Not Rated	$38,124	5,947	Adventure
1	Pirates of the Caribbean: D…	2006-07-07	Walt Disney	PG-13	$423,315,812	64,628,368	Adventure
2	Cars	2006-06-09	Walt Disney	G	$244,082,982	37,264,577	Adventure
3	Superman Returns	2006-06-28	Warner Bros.	PG-13	$200,120,000	30,552,671	Adventure
4	Ice Age: The Meltdown	2006-03-31	20th Century Fox	PG	$195,330,621	29,821,468	Adventure
5	Happy Feet	2006-11-17	Warner Bros.	PG	$175,967,627	26,865,286	Adventure
6	Over the Hedge	2006-05-19	Paramount Pictures	PG	$155,019,340	23,667,074	Adventure
7	Night at the Museum	2006-12-22	20th Century Fox	PG	$115,822,154	17,682,771	Adventure
8	Open Season	2006-09-29	Sony Pictures	PG	$85,105,259	12,993,169	Adventure
9	The Santa Clause 3: The Esc…	2006-11-03	Walt Disney	G	$83,549,047	12,755,579	Adventure
10	The Pink Panther	2006-02-10	Sony Pictures	PG	$82,226,474	12,553,660	Adventure
11	Eight Below	2006-02-17	Walt Disney	PG	$81,612,565	12,459,933	Adventure
12	The Chronicles of Narnia: T…	2005-12-09	Walt Disney	PG	$74,033,080	11,302,760	Adventure
13	Monster House	2006-07-21	Sony Pictures	PG	$73,661,010	11,245,955	Adventure
14	Barnyard: The Original Part…	2006-08-04	Paramount Pictures	PG	$72,779,000	11,111,297	Adventure
15	R.V.	2006-04-28	Sony Pictures	PG	$71,724,497	10,950,304	Adventure
16	Flushed Away	2006-11-03	Paramount Pictures	PG	$61,733,119	9,424,903	Adventure
17	Poseidon	2006-05-12	Warner Bros.	PG-13	$60,674,817	9,263,330	Adventure
18	Curious George	2006-02-10	Universal	G	$58,640,119	8,952,689	Adventure
19	Eragon	2006-12-15	20th Century Fox	PG	$56,420,434	8,613,806	Adventure
20	Hoodwinked	2006-01-13	Weinstein Co.	PG	$51,386,611	7,845,284	Adventure
21	King Kong	2005-12-14	Universal	PG-13	$49,574,715	7,568,658	Adventure
22	Nanny McPhee	2006-01-27	Universal	PG	$47,279,279	7,218,210	Adventure
23	The Wild	2006-04-14	Walt Disney	G	$37,384,046	5,707,487	Adventure
24	Cheaper by the Dozen 2	2005-12-21	20th Century Fox	PG	$32,258,142	4,924,907	Adventure
25	Garfield: A Tail of Two Kit…	2006-06-16	20th Century Fox	PG	$28,426,747	4,339,961	Adventure
26	The Ant Bully	2006-07-28	Warner Bros.	PG	$28,142,535	4,296,570	Adventure
27	Unaccompanied Minors	2006-12-08	Warner Bros.	PG	$14,993,733	2,289,119	Adventure
28	Harry Potter and the Goblet…	2005-11-18	Warner Bros.	PG-13	$14,880,404	2,271,817	Adventure
29	Everyone's Hero	2006-09-15	20th Century Fox	G	$14,523,101	2,217,267	Adventure
30	The New World	2005-12-25	New Line	PG-13	$12,555,622	1,916,888	Adventure
31	Zoom	2006-08-11	Sony Pictures	PG	$11,989,328	1,830,431	Adventure
32	Hoot	2006-05-05	New Line	PG	$8,117,637	1,239,333	Adventure
33	Doogal	2006-02-24	Weinstein Co.	G	$7,578,946	1,157,090	Adventure
34	The Polar Express	2004-11-10	Warner Bros.	G	$3,862,602	589,710	Adventure
35	Chicken Little	2005-11-04	Walt Disney	G	$3,442,012	525,498	Adventure
36	Santa vs. The Snowman	2002-11-06	IMAX Films	Not Rated	$1,937,203	295,756	Adventure
37	The Celestine Prophecy	2006-04-19	Ram Entertainment	PG	$1,214,661	185,444	Adventure
38	T-Rex: Back to the Cretaceous	1998-10-23	IMAX Films	Not Rated	$769,288	117,448	Adventure
39	Lassie	2006-09-01	IDP/Goldwyn/Roadside	PG	$652,163	99,566	Adventure
